X,Y,altitud,pendiente,distancia_sitios_nuevos,distancia_mincul,presencia_sitio_nuevo,presencia_total_rec
342825.0,8554375.0,3.0,0.92528886,3459.9494215956397,917.1968163922072,0,0
342825.0,8554625.0,7.0,2.0682898,3566.686137018507,1020.4165815979276,0,0
342825.0,8554875.0,7.0,0.0,3687.3093171037335,1151.6292806281022,0,0
342825.0,8555125.0,7.0,1.8500954,3820.503893467457,936.0822613424529,0,0
342825.0,8555375.0,7.0,1.3084424,3965.003152583866,742.4621202458749,0,0
342825.0,8555625.0,8.0,0.92528886,4119.6177007096185,592.663479556485,0,0
342825.0,8555875.0,8.0,0.92528886,4283.252269012415,525.594901040716,0,0
342825.0,8556125.0,4.0,0.92528886,4454.913018230547,571.1829829397931,0,0
342825.0,8556375.0,6.0,0.92528886,4633.708018423258,707.9901129253147,0,0
342825.0,8556625.0,7.0,1.8500954,4818.843222185175,895.1256894984078,0,0
342825.0,8556875.0,9.0,2.0682898,5009.615753728024,1107.361729517505,0,0
342825.0,8557125.0,9.0,2.0682898,5205.405843928022,1332.760293526184,0,0
342825.0,8557375.0,8.0,2.0682898,5405.668321308662,1565.6468311851177,0,0
342825.0,8557625.0,5.0,0.92528886,5499.851585933513,1803.122292025696,0,0
342825.0,8557875.0,5.0,0.92528886,5381.1181428487325,1625.1922963145007,0,0
342825.0,8558125.0,6.0,1.3084424,5271.574477070034,1375.2272539475066,0,0
342825.0,8558375.0,8.0,2.0682898,5171.804565845137,1125.27774349269,0,0
342825.0,8558625.0,6.0,2.0682898,5082.3840338267455,875.3570700005798,0,0
342825.0,8558875.0,5.0,1.3084424,5003.867750780133,625.4998001598402,0,0
342825.0,8559125.0,6.0,0.0,4936.77601955951,375.8324094593227,0,0
342825.0,8559375.0,7.0,0.92528886,4881.579915078544,127.47548783981962,0,1
342825.0,8559625.0,6.0,2.0682898,4838.686543608571,127.47548783981962,0,1
342825.0,8559875.0,11.0,3.3327029,4808.425154590541,375.8324094593227,0,0
342825.0,8560125.0,15.0,3.3327029,4791.035114388067,625.4998001598402,0,0
342825.0,8560375.0,20.0,2.9237342,4786.65671082645,875.3570700005798,0,0
342825.0,8560625.0,29.0,5.610798,4795.325585119356,1125.27774349269,0,0
342825.0,8560875.0,48.0,11.440344,4816.971296084367,1375.2272539475066,0,0
342825.0,8561125.0,66.0,7.4188256,4851.420149533652,1625.1922963145007,0,0
342825.0,8561375.0,49.0,11.005541,4898.4020320203945,1875.1666592599177,0,0
342825.0,8561625.0,33.0,7.0121818,4957.560636775101,2035.006142496872,0,0
342825.0,8561875.0,29.0,1.3084424,5028.466214195174,2194.5956347354745,0,0
342825.0,8562125.0,31.0,2.0682898,5110.629850351398,2369.862865230813,0,0
342825.0,8562375.0,37.0,1.3084424,5126.524163602469,2557.5867531718254,0,0
342825.0,8562625.0,46.0,9.571109,4876.60230078279,2755.2223140792107,0,0
342825.0,8562875.0,48.0,7.8567414,4626.688880830437,2960.785368783087,0,0
342825.0,8563125.0,82.0,5.8323207,4376.785350002899,3172.735412857492,0,0
342825.0,8563375.0,87.0,5.3799167,4126.893504804794,3389.8746289501623,0,0
342825.0,8563625.0,100.0,3.9198825,3877.0156048177055,3611.267090648378,0,0
342825.0,8563875.0,119.0,8.320585,3627.154532136727,3836.176481863159,0,0
342825.0,8564125.0,185.0,17.148108,3377.314021526574,4064.018946806228,0,0
342825.0,8564375.0,194.0,24.07067,3127.499000799201,4294.327654010579,0,0
342825.0,8564625.0,169.0,10.235647,2877.7161083053347,4526.726190084839,0,0
342825.0,8564875.0,231.0,30.77845,2627.97450520358,4760.9085267415085,0,0
342825.0,8565125.0,251.0,19.635462,2378.287198805056,4996.623860167983,0,0
342825.0,8565375.0,315.0,22.472963,2128.6732957408003,5233.665063796116,0,0
