x,y,lat,lon
341200.0,8560400.0,-13.018149528197846,-76.46434815250902
340800.0,8560050.0,-13.021292581212041,-76.46805446491439
340300.0,8560100.0,-13.020814456181206,-76.47266144728566
346000.0,8561000.0,-13.012971669753846,-76.42006458382163
370800.0,8360050.0,-14.830723764682304,-76.20076059906285
374600.0,8362000.0,-14.813278344422484,-76.1653551121427
340000.0,8559000.0,-13.030742384169969,-76.47548610413061
342800.0,8559500.0,-13.026368206755597,-76.44964467309514
341200.0,8558600.0,-13.034421037273395,-76.46444377562766
340600.0,8558500.0,-13.035293675137025,-76.46998099403358
344600.0,8558500.0,-13.035500340373101,-76.43310137501257
345350.0,8558000.0,-13.040058442127222,-76.42621226903226
346000.0,8556900.0,-13.050035261318905,-76.42027590301234
345200.0,8556600.0,-13.052706625842648,-76.42766791817013
651250.0,8558000.0,-13.040229207375969,-73.6051365686959
350750.0,8559200.0,-13.029479804838832,-76.37636277214122
350000.0,8559700.0,-13.024922962463803,-76.3832526588044
349700.0,8557500.0,-13.044796255902375,-76.38612929275288
352000.0,8556050.0,-13.058017091009201,-76.36499395148306
342300.0,8555900.0,-13.058885507409807,-76.45444463832386
343700.0,8554100.0,-13.075229414371941,-76.44162996973759
344500.0,8555400.0,-13.063518719179955,-76.43418494918319
345600.0,8554800.0,-13.068998709280274,-76.42407290080166
346300.0,8553200.0,-13.083498007145307,-76.41770062069934
345093.0,8551923.0,-13.094980496657275,-76.42889786137674
345390.0,8552193.0,-13.092554900462819,-76.42614481991012
345665.0,8552142.0,-13.093029939833343,-76.42361138071126
345637.0,8551686.0,-13.097150682399363,-76.42389328434982
351200.0,8555000.0,-13.067470117247039,-76.37242323742791
349300.0,8555000.0,-13.0673764832625,-76.3899438474723
348100.0,8554100.0,-13.07545268714513,-76.40105533235526
348560.0,8547835.0,-13.132110888639426,-76.39713285210966
350623.0,8551813.0,-13.096252381392913,-76.37790398685857
350577.0,8552145.0,-13.093248828449216,-76.37831152889957
349200.0,8555300.0,-13.064659525132784,-76.3908507962339
354226.0,8555810.0,-13.060294255467609,-76.34447945489508
363600.0,8552600.0,-13.089749175198797,-76.25818494907811
367600.0,8555900.0,-13.060092439609367,-76.22114725928016
365800.0,8353000.0,-14.894202823884754,-76.24758788374142
