foto,latitud,longitud,predicho,cercano,es_sitio,orden,salida
4954,-13.104492,-76.419903,si,7,no,1,1
4976,-13.134137,-76.373829,si,49,si,2,1
4999,-13.133905,-76.376588,si,46,cerámica,3,1
5014,-13.125411,-76.371957,si,53,aparenta por cantos rodados,4,1
5032,-13.100122,-76.408521,si,23,cerámica,5,1
5041,-13.100131,-76.410846,si,20,no,6,1
5047,-13.104626,-76.41302,si,16,no,7,1
5054,-13.104192,-76.410545,si,19,no,8,1
5057,-13.102251,-76.41517,si,14,no,9,1
