alerta_num,x,y,altitud,pendiente,dist_acequia,dist_rio,probabilidad,lat,lon
130,361555.9958760397,8550137.198317887,157.0,1.8500955407727733,501.7184368599192,391.2376912401812,0.53,-13.111921251033085,-76.27715081415006
131,361555.9958760397,8550187.198317887,156.0,2.0682900365601222,551.1745905872691,341.9179950485741,0.53,-13.111469232088387,-76.27714848180409
132,351805.9958760397,8552187.198317887,39.0,2.0682900365601222,275.1100815836271,3249.141884636326,0.53,-13.092927661725174,-76.3669751732296
133,374255.9958760397,8565737.198317887,455.0,2.92373461976007,16699.388408519273,250.6328150279997,0.52,-12.971438450290576,-76.15935351709119
134,348855.9958760397,8548187.198317887,14.0,7.189394903251205,1563.251686668376,331.5642000934816,0.52,-13.12894185250166,-76.39438470415614
135,345655.9958760397,8552387.198317887,8.0,2.6155216134963046,2341.291330482634,867.7449231918969,0.52,-13.090812926943814,-76.42368168821726
136,358355.9958760397,8549037.198317887,118.0,1.3084424638581322,44.35834694888174,658.8303230733294,0.52,-13.12171754749229,-76.30671809503933
137,350505.9958760397,8551537.198317887,31.0,1.850095540772776,1042.1722629331732,2391.8538696166884,0.52,-13.098739865365449,-76.37899692762664
138,350255.9958760397,8546737.198317887,47.0,1.850095540772776,642.4832527880201,1133.9804589262997,0.52,-13.14211947107817,-76.38154491277143
139,341605.9958760397,8563837.198317887,184.0,13.848991125717513,5112.402441153428,3552.5983502019785,0.51,-12.987099189144743,-76.46042341481152
140,348655.9958760397,8547987.198317887,19.0,9.174470555116525,1777.9209581346422,295.27987873346024,0.51,-13.130739834543265,-76.39623963938506
141,378355.9958760397,8570237.198317887,575.0,19.579619183452724,22029.719544231688,297.65748256245246,0.51,-12.930919553595947,-76.1213749134065
142,353255.9958760397,8552487.198317887,69.0,3.3327031799960194,186.5116879935695,3627.1118887882426,0.51,-13.090286139150402,-76.35358787978318
143,352055.9958760397,8555987.198317887,81.0,2.068290036560124,380.8734406352805,5253.245107418548,0.51,-13.05858754903388,-76.36448072513903
144,340905.9958760397,8559737.198317887,13.0,2.92373461976007,2439.12126646243,1591.716094151494,0.51,-13.024125751447611,-76.46709389837388
145,350455.9958760397,8546637.198317887,49.0,2.0682900365601222,664.2430333035296,1307.8572408778982,0.51,-13.143033376533852,-76.37970513277361
146,375605.9958760397,8566337.198317887,469.0,3.809771118855444,18039.32939316252,142.42646336567793,0.51,-12.966069046355113,-76.1468834989428
